Target,Feature,spearman_r,spearman_p
N2_Qst_Widom,PLD_A,-0.5955078084664346,8.287300978519967e-25
N2_Qst_Widom,LFPD_A,-0.5873867942511131,5.019676123709604e-24
N2_Qst_Widom,LCD_PLD_ratio,-0.1549178262683337,0.015430766679246706
N2_Qst_Widom,pore_vol_cm3_g,0.5913435683927487,2.100348368088551e-24
N2_Qst_Widom,ASA_m2_cm3,-0.36802266747621937,3.056146570118253e-09
N2_Qst_Widom,ASA_m2_g,-0.5958151080711579,7.7335032996185805e-25
N2_Qst_Widom,NASA_m2_cm3,0.1324457943657031,0.03870005851340832
N2_Qst_Widom,NASA_m2_g,0.13159974109159006,0.039971880738380816
N2_Qst_Widom,void_fraction,-0.6721271695114459,1.976700815229478e-33
N2_Qst_Widom,accessible_pore_vol,-0.11746755406916373,0.06697727730816651
N2_Qst_Widom,has_oms,-0.21514030521804547,0.000716871273363816
N2_Qst_Widom,density_g_cm3,0.5913435683927487,2.100348368088551e-24
N2_Qst_Widom,uc_volume_A3,-0.36125554218463163,6.1930709707085046e-09
N2_Qst_Widom,C_mass_frac,-0.1292474891899065,0.043694376280568506
N2_Qst_Widom,N_mass_frac,-0.09536982270013061,0.13742140283108412
N2_Qst_Widom,O_mass_frac,0.09065200912140069,0.1580482081859558
N2_Qst_Widom,catenation,-0.07609199138496955,0.23633033459365896
N2_Qst_Widom,O_coord_ratio,-0.08177786100952222,0.20302349429046332
N2_Qst_Widom,shortest_MM_dist,0.052948965877368644,0.4102692347720944
N2_Qst_Widom,ligand_MW,-0.09994883229184741,0.11943840748146961
