Target,Feature,beta_std,semipartial,p_value
CO2_Qst_CC_1bar,topo_tsy,0.030055661231854373,0.024993973859678543,0.4627493443084819
log10_CO2N2_actual_selectivity,LCD_A,0.47116128569063864,0.042445882253205884,0.22040691841923074
log10_CO2N2_actual_selectivity,PLD_A,-0.2744191724239764,-0.03691873985453995,0.2867053489327789
log10_CO2N2_actual_selectivity,LFPD_A,-0.1960270046980851,-0.023072625356542913,0.505904225051754
log10_CO2N2_actual_selectivity,LCD_PLD_ratio,0.03576914553536119,0.009184420156618559,0.7912565711219721
log10_CO2N2_actual_selectivity,pore_vol_cm3_g,-0.0505929510646097,-0.029715343804271342,0.39140645786288875
log10_CO2N2_actual_selectivity,ASA_m2_cm3,0.3094060087068493,0.08713211551903903,0.011364905332330838
log10_CO2N2_actual_selectivity,ASA_m2_g,-0.09050893406615171,-0.018508768810008246,0.5936621402262061
log10_CO2N2_actual_selectivity,NASA_m2_cm3,-0.3535778711503307,-0.03714516580291221,0.2837513992500232
log10_CO2N2_actual_selectivity,NASA_m2_g,0.5472465675467778,0.05241630430182165,0.12981637638344384
log10_CO2N2_actual_selectivity,void_fraction,-1.0439088461486952,-0.17681584960722593,1.316320741198504e-07
log10_CO2N2_actual_selectivity,accessible_pore_vol,0.014408858546400428,0.011470461800290406,0.7409651233447656
log10_CO2N2_actual_selectivity,has_oms,0.0024901935081206583,0.0019877186113659087,0.9543239247980698
log10_CO2N2_actual_selectivity,density_g_cm3,-0.05059295106460806,-0.029715343804270322,0.39140645786290496
log10_CO2N2_actual_selectivity,uc_volume_A3,0.008695135209509236,0.0036805945234260912,0.9155343624949286
log10_CO2N2_actual_selectivity,C_mass_frac,0.09242314689373554,0.05983527661289542,0.08349215805911896
log10_CO2N2_actual_selectivity,N_mass_frac,0.050480408841063834,0.020331415747574116,0.5577945606294216
log10_CO2N2_actual_selectivity,O_mass_frac,-0.1172378087784598,-0.04968741157739662,0.15113470438911902
log10_CO2N2_actual_selectivity,catenation,0.13022397403568883,0.10652451116780134,0.0018875900769970194
log10_CO2N2_actual_selectivity,O_coord_ratio,0.08018177813407014,0.025300464940985326,0.4656684099602316
log10_CO2N2_actual_selectivity,shortest_MM_dist,-0.10939754398555852,-0.07557130674327757,0.02845486617672231
log10_CO2N2_actual_selectivity,ligand_MW,0.6533932917486666,0.034325558596392414,0.3220028561077332
log10_CO2N2_actual_selectivity,ligand_LogP,0.137994585230095,0.03565300784681325,0.30359668626983255
log10_CO2N2_actual_selectivity,ligand_n_heavy,-1.3185039359593969,-0.06080919320524011,0.07854932395017217
log10_CO2N2_actual_selectivity,ligand_n_aromatic_rings,0.44239223448869697,0.10389465011474786,0.0024551584772849176
log10_CO2N2_actual_selectivity,ligand_n_carboxylate,0.0005169099759995271,0.00017689838386660898,0.9959328379471309
log10_CO2N2_actual_selectivity,ligand_n_N_hetero,-0.004504529939125486,-0.0023436090039368,0.9461572614869163
log10_CO2N2_actual_selectivity,ligand_n_halogen,0.030891485992041973,0.02152603922705086,0.5348679092304065
log10_CO2N2_actual_selectivity,ligand_n_amino,0.041117266227083185,0.01129571063149339,0.7447740092934075
log10_CO2N2_actual_selectivity,ligand_TPSA,0.24430139744738194,0.0399450305262421,0.2489134128413561
log10_CO2N2_actual_selectivity,metal_Cu,-0.058776807417302006,-0.029172122632829256,0.40013897269812904
log10_CO2N2_actual_selectivity,metal_Mn,-0.044512430286193415,-0.033135429932578675,0.3391066971446156
log10_CO2N2_actual_selectivity,metal_Ni,-0.056995560431281206,-0.04441136218239373,0.19969371254310167
log10_CO2N2_actual_selectivity,metal_Other,0.08594603179776186,0.037952019477131206,0.2733919195270056
log10_CO2N2_actual_selectivity,metal_Zn,0.07254171556711331,0.04003519214816983,0.24784319311577932
log10_CO2N2_actual_selectivity,metal_Zr,0.13084626352912992,0.07225357967468181,0.036289951471697925
log10_CO2N2_actual_selectivity,topo_dia,0.01150112697640359,0.010015435770222895,0.772862581077568
log10_CO2N2_actual_selectivity,topo_error,-0.09876795155025188,-0.08147419507596732,0.018056380044628492
log10_CO2N2_actual_selectivity,topo_lim,0.04451944962487102,0.038912435009328776,0.26139922522315395
log10_CO2N2_actual_selectivity,topo_lvt,0.0790952129749869,0.0677013274199366,0.04994771985247406
