Target,Feature,shap_main,shap_interaction_total,shap_interaction_share
log10_CO2N2_actual_selectivity,ligand_n_amino,0.00043044647,0.00094597274,0.6872708079203932
log10_CO2N2_actual_selectivity,ligand_TPSA,0.0020401562,0.005253353,0.7202778423053466
log10_CO2N2_actual_selectivity,metal_Co,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,metal_Cu,0.0015602994,0.0022935176,0.5951288234125858
log10_CO2N2_actual_selectivity,metal_Mn,0.002344968,0.0045324843,0.6590353881062293
log10_CO2N2_actual_selectivity,metal_Ni,0.00029944812,0.00045900434,0.6051853797751113
log10_CO2N2_actual_selectivity,metal_Other,0.001294686,0.0027337032,0.6786095086687739
log10_CO2N2_actual_selectivity,metal_Zn,0.00019963302,0.00043925963,0.6875327747059953
log10_CO2N2_actual_selectivity,metal_Zr,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,topo_Other,0.00077595835,0.0015169055,0.661576802593332
log10_CO2N2_actual_selectivity,topo_dia,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,topo_error,0.0039133425,0.0072491216,0.6494195035396373
log10_CO2N2_actual_selectivity,topo_lim,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,topo_lvt,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,topo_ntt,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,topo_pcu,6.383244e-05,0.00016006661,0.7149052633746628
log10_CO2N2_actual_selectivity,topo_pto,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,topo_pts,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,topo_tbo,0.0,0.0,0.0
log10_CO2N2_actual_selectivity,topo_tsy,8.3110725e-05,0.00013976223,0.6270937294267773
log10_CO2N2_Henry_selectivity,LCD_A,0.023990864,0.04072275,0.6292764187164739
log10_CO2N2_Henry_selectivity,PLD_A,0.04185038,0.064248316,0.6055523588377628
log10_CO2N2_Henry_selectivity,LFPD_A,0.008622465,0.016725603,0.6598374267851712
log10_CO2N2_Henry_selectivity,LCD_PLD_ratio,0.0051018065,0.011425469,0.6913098525065842
log10_CO2N2_Henry_selectivity,pore_vol_cm3_g,0.018593367,0.035204194,0.6543827152977352
log10_CO2N2_Henry_selectivity,ASA_m2_cm3,0.011549732,0.034473047,0.7490431147405033
log10_CO2N2_Henry_selectivity,ASA_m2_g,0.028762264,0.055292074,0.6578134609057231
log10_CO2N2_Henry_selectivity,NASA_m2_cm3,0.0011536245,0.0020962728,0.6450274180893519
log10_CO2N2_Henry_selectivity,NASA_m2_g,0.005390781,0.007810822,0.5916570758700574
log10_CO2N2_Henry_selectivity,void_fraction,0.09084617,0.1363487,0.6001398327096867
log10_CO2N2_Henry_selectivity,accessible_pore_vol,0.0,0.0,0.0
log10_CO2N2_Henry_selectivity,has_oms,0.00031628757,0.0006544023,0.6741620823783407
log10_CO2N2_Henry_selectivity,density_g_cm3,0.0,0.0,0.0
log10_CO2N2_Henry_selectivity,uc_volume_A3,0.022839693,0.040413268,0.6389150154045165
log10_CO2N2_Henry_selectivity,C_mass_frac,0.010535362,0.020758737,0.6633434700755098
log10_CO2N2_Henry_selectivity,N_mass_frac,0.0026417656,0.00817819,0.7558432337707915
log10_CO2N2_Henry_selectivity,O_mass_frac,0.009833592,0.0204097,0.6748504502896451
log10_CO2N2_Henry_selectivity,catenation,0.004155932,0.0060420306,0.5924742868788913
log10_CO2N2_Henry_selectivity,O_coord_ratio,0.0022094827,0.005012308,0.6940533353366978
log10_CO2N2_Henry_selectivity,shortest_MM_dist,0.020437703,0.03809858,0.6508541155122872
log10_CO2N2_Henry_selectivity,ligand_MW,0.013744231,0.025424624,0.6491030319465336
log10_CO2N2_Henry_selectivity,ligand_LogP,0.0072744177,0.013869073,0.6559500322339321
log10_CO2N2_Henry_selectivity,ligand_n_heavy,0.00073659205,0.0017335401,0.7018005325961754
log10_CO2N2_Henry_selectivity,ligand_n_aromatic_rings,0.0052945637,0.011138659,0.6778134453024246
log10_CO2N2_Henry_selectivity,ligand_n_carboxylate,0.0004059501,0.0012350673,0.7526228990509676
log10_CO2N2_Henry_selectivity,ligand_n_N_hetero,0.0012834714,0.0018738718,0.5934963760278021
log10_CO2N2_Henry_selectivity,ligand_n_halogen,7.9959646e-05,0.00021112848,0.7253077748168129
log10_CO2N2_Henry_selectivity,ligand_n_amino,0.0011545458,0.003130449,0.7305607632150308
log10_CO2N2_Henry_selectivity,ligand_TPSA,0.0018649191,0.0047185817,0.7167283680574027
log10_CO2N2_Henry_selectivity,metal_Co,0.00044688143,0.001125043,0.7157106322405438
log10_CO2N2_Henry_selectivity,metal_Cu,0.001576906,0.0024515255,0.6085558288863248
log10_CO2N2_Henry_selectivity,metal_Mn,0.00068513775,0.0012925453,0.6535654694718063
log10_CO2N2_Henry_selectivity,metal_Ni,0.0007468491,0.0011867088,0.6137436044071156
log10_CO2N2_Henry_selectivity,metal_Other,0.002419607,0.0048183715,0.6657068189905455
log10_CO2N2_Henry_selectivity,metal_Zn,0.007384008,0.015639504,0.6792840410900032
log10_CO2N2_Henry_selectivity,metal_Zr,0.0,0.0,0.0
log10_CO2N2_Henry_selectivity,topo_Other,0.0008681525,0.0021743658,0.7146599244210269
log10_CO2N2_Henry_selectivity,topo_dia,0.0007056156,0.0012902769,0.6464661202345101
log10_CO2N2_Henry_selectivity,topo_error,0.0069024498,0.01080855,0.6102733127418739
log10_CO2N2_Henry_selectivity,topo_lim,0.0,0.0,0.0
log10_CO2N2_Henry_selectivity,topo_lvt,0.0,0.0,0.0
log10_CO2N2_Henry_selectivity,topo_ntt,0.0,0.0,0.0
